id,name,url,name_match,redirected_to,http_status,page_title,flag
acmf-songwriting,ACMF National Songwriting Competition,https://acmf.com.au/national-songwriting-competition/,full,,200,National Songwriting Competition - ACMF,ok
agnpoty-junior,Australian Geographic Nature Photographer of the Year - Junior Category,https://www.naturephotographeroftheyear.com.au,partial,https://www.samuseum.sa.gov.au:443/c/npoty,200,Australian Geographic Nature Photographer of the Year | SA Museum,partial-match
amc,Australian Mathematics Competition (AMC),https://amt.edu.au/amc,full,,200,Australian Mathematics Competition  - Australian Maths Trust,ok
apsmo-olympiad,APSMO Maths Olympiad (Years 5-6),https://apsmo.edu.au/,partial,,200,Home - APSMO,partial-match
asme-young-composers,ASME Young Composers Awards (state-based),https://www.asme.edu.au/qld/young-composers/,partial,https://asme.edu.au/activity/young-composers-award-sa/,200,ASME SA Young Composers Award - ASME | Australian Society for Music Education,partial-match
aus-museum-ocean,Australian Museum Ocean Photography (Young Ocean Photographer),,miss,,,,no-url
banabae-artists,Banabae - We Are All Artists,https://banabae.com/blogs/on-the-blog/,miss,,HTTP Error 503: Service Unavailable,,fetch-failed
better-read-kids,Better Read Kids Writing Competition,https://www.betterreadkids.com/2026-writing-competition,partial,,200,2026 Writing Competition | Better Read Kids,partial-match
big-science,Big Science Competition (ASI),https://asi.edu.au/program/big-science-competition/,partial,,200,Big Science Competition | Australian Science Innovations | Australian Science Innovations,partial-match
boathouse-colouring,Boathouse Group Kids Colouring Competition,,miss,,,,no-url
book-links,Book Links Short Story Writing Competition,https://booklinks.org.au/childrens-short-story-competition-guidelines/,partial,,200,Children’s short story competition guidelines – Book Links QLD Inc,partial-match
bunnings-seasonal,Bunnings Spring/Seasonal Art Competitions,https://www.bunnings.com.au/services/in-store/diy-workshops,miss,,200,D.I.Y. Workshops And Activities  - Bunnings Australia,verify-url
camp-aus-big-art,Camp Australia Big Art Comp,https://campaustralia.com.au/big-art-comp/,partial,,200,Big Art Comp Details | Camp Australia,partial-match
cartoon-chef,Cartoon Chef Drawing Competition,https://cartoonchef.com.au/,partial,https://wordpress.com/typo/?subdomain=cartoonchef,200,WordPress.com,partial-match
cbca-wa-storybook,CBCA WA's Make Your Own Storybook Awards,https://wa.cbca.org.au/entry-information.html,partial,,200,Entry Information - CBCA WA BRANCH,partial-match
childrens-rights-qld,Children's Rights Queensland Art Competition,https://childrensrights.org.au/competitions/2025-child-rights-art-competition,partial,,200,2025 Child Rights Art Competition,partial-match
class-clowns,Class Clowns,https://classclowns.com.au/the-comp,full,,200,The Competition - Class Clowns,ok
cossack-children,Cossack Children's Art Awards,https://www.cossackartawards.com.au/childrens,partial,,200,Children's Art Awards — Cossack Art Awards,partial-match
crayola-acts,Crayola Creative Acts of Color (Open Call),https://www.crayola.com/news/blog/2025/06/26/crayola-launches-creative-acts-of-color-with-global-open-call,partial,,200,Crayola Launches Creative Acts of Color with Global Open Call,partial-match
crikey-magazine,Crikey! Magazine Photography Competition (Australia Zoo),https://australiazoo.com.au/photography-competition/,partial,,200,Crikey Magazine Photography Competition - Australia Zoo,partial-match
cya-hatchlings,CYA Conference Hatchlings Award,,miss,,,,no-url
dorothea-mackellar,Dorothea Mackellar Poetry Awards,https://dorothea.com.au/entry-information/,miss,,<urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>,,fetch-failed
eckersleys-colouring,Eckersley's Kids Colouring Competition,https://www.eckersleys.com.au/competitions,partial,,200,Competitions | Eckersley's Art & Craft,partial-match
eckersleys-prize,Eckersley's Art & Craft Prize,https://www.eckersleys.com.au/eckersley-s-art-craft-prize,full,,200,Eckersley's Art & Craft Prize 2025 | Eckersley's Art & Craft,ok
ekka-junior,Royal Queensland Show (Ekka) - Junior Categories,https://www.ekka.com.au/,partial,,200,Ekka - Home,partial-match
