id,name,url,status,logo_filename,source,error
acmf-songwriting,ACMF National Songwriting Competition,https://acmf.com.au/national-songwriting-competition/,ok,acmf-songwriting.png,https://acmf.com.au/wp-content/uploads/2025/04/NSC-2025-Montage.png,
agnpoty-junior,Australian Geographic Nature Photographer of the Year - Junior Category,https://www.naturephotographeroftheyear.com.au,ok,agnpoty-junior.jpg,https://www.samuseum.sa.gov.au/img2/skbvigmz6?cx=0&cy=134&cw=1218&ch=636&w=400&h=209,
amc,Australian Mathematics Competition (AMC),https://amt.edu.au/amc,ok,amc.svg,https://amt.edu.au/wp-content/uploads/2021/01/AMC.svg,
apsmo-olympiad,APSMO Maths Olympiad (Years 5-6),https://apsmo.edu.au/,ok,apsmo-olympiad.png,https://apsmo.edu.au/wp-content/uploads/2021/10/top-box-logo-apsmo.png,
asme-young-composers,ASME Young Composers Awards (state-based),https://www.asme.edu.au/qld/young-composers/,ok,asme-young-composers.jpg,https://asme.edu.au/wp-content/uploads/2023/07/student-guitar.jpg,
aus-museum-ocean,Australian Museum Ocean Photography (Young Ocean Photographer),,skip,,,
banabae-artists,Banabae - We Are All Artists,https://banabae.com/blogs/on-the-blog/,fail,,,HTTP Error 503: Service Unavailable
better-read-kids,Better Read Kids Writing Competition,https://www.betterreadkids.com/2026-writing-competition,ok,better-read-kids.png,https://static.wixstatic.com/media/c44b87_9c32f492fe194d8ea348bac810cc4536%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/c44b87_9c32f492fe194d8ea348bac810cc4536%7Emv2.png,
big-science,Big Science Competition (ASI),https://asi.edu.au/program/big-science-competition/,ok,big-science.png,https://asi.edu.au/wp-content/uploads/2022/12/BSC-3-Website-Image-stock.png,
boathouse-colouring,Boathouse Group Kids Colouring Competition,,skip,,,
book-links,Book Links Short Story Writing Competition,https://booklinks.org.au/childrens-short-story-competition-guidelines/,ok,book-links.png,https://booklinks.org.au/wp-content/uploads/2020/09/cropped-favicon-bl-180x180.png,
bunnings-seasonal,Bunnings Spring/Seasonal Art Competitions,https://www.bunnings.com.au/services/in-store/diy-workshops,ok,bunnings-seasonal.jpg,https://media.bunnings.com.au/api/public/content/c0168643009d4b96997a96cb2043fd25?v=7b546a0f&t=w1200,
camp-aus-big-art,Camp Australia Big Art Comp,https://campaustralia.com.au/big-art-comp/,ok,camp-aus-big-art.png,https://campaustralia.com.au/wp-content/uploads/2026/04/Big-Art-Comp-T2-2026-Web_Icon-Title-1.png,
cartoon-chef,Cartoon Chef Drawing Competition,https://cartoonchef.com.au/,ok,cartoon-chef.png,https://s1.wp.com/i/webclip.png,
cbca-wa-storybook,CBCA WA's Make Your Own Storybook Awards,https://wa.cbca.org.au/entry-information.html,ok,cbca-wa-storybook.jpg,https://wa.cbca.org.au/uploads/1/3/3/6/133669281/myosba-2026-entry-front_orig.jpg,
childrens-rights-qld,Children's Rights Queensland Art Competition,https://childrensrights.org.au/competitions/2025-child-rights-art-competition,ok,childrens-rights-qld.jpg,https://childrensrights.org.au/hubfs/I%20Am%20Me/I%20AM%20ME%20(4).jpg,
class-clowns,Class Clowns,https://classclowns.com.au/the-comp,ok,class-clowns.png,https://classclowns.com.au/build/images/share_2022.png,
cossack-children,Cossack Children's Art Awards,https://www.cossackartawards.com.au/childrens,ok,cossack-children.jpg,http://static1.squarespace.com/static/6513a96f52c10f530d8e5c72/t/69420dbe2be4df26e4e026f4/1765936574212/CAA2026+-+FB+Cover+Photo-02-02.jpg?format=1500w,
crayola-acts,Crayola Creative Acts of Color (Open Call),https://www.crayola.com/news/blog/2025/06/26/crayola-launches-creative-acts-of-color-with-global-open-call,ok,crayola-acts.ico,https://www.crayola.com/img/favicon.ico,
crikey-magazine,Crikey! Magazine Photography Competition (Australia Zoo),https://australiazoo.com.au/photography-competition/,ok,crikey-magazine.png,https://azwp-az-prod-1-ap-southeast-2.s3.amazonaws.com/uploads/2024/08/cropped-AZ_FAVICON_512x512-180x180.png,
cya-hatchlings,CYA Conference Hatchlings Award,,skip,,,
dorothea-mackellar,Dorothea Mackellar Poetry Awards,https://dorothea.com.au/entry-information/,fail,,,<urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
eckersleys-colouring,Eckersley's Kids Colouring Competition,https://www.eckersleys.com.au/competitions,ok,eckersleys-colouring.png,https://www.eckersleys.com.au/media/favicon/stores/2/eckersley_s-favicon.png,
eckersleys-prize,Eckersley's Art & Craft Prize,https://www.eckersleys.com.au/eckersley-s-art-craft-prize,ok,eckersleys-prize.png,https://www.eckersleys.com.au/media/favicon/stores/2/eckersley_s-favicon.png,
ekka-junior,Royal Queensland Show (Ekka) - Junior Categories,https://www.ekka.com.au/,ok,ekka-junior.ico,https://www.ekka.com.au/favicon.ico,
embracing-differences,Embracing Our Differences,,skip,,,
faber-castell-cym,Faber-Castell Create Your Mark,https://createyourmark.com.au/,ok,faber-castell-cym.gif,https://createyourmark.com.au/wp-content/uploads/2022/09/cropped-faber-castell-tab-icon-180x180.gif,
festival-of-owls,International Festival of Owls Kids' Art Contest,https://www.festivalofowls.com/kids-art-contest.html,ok,festival-of-owls.jpg,https://www.festivalofowls.com/uploads/1/0/3/1/103197186/0-5-1stplace-autszsan-age3-hongkong.jpg,
first-lego,FIRST LEGO League (Australia),https://www.firstaustralia.org/first-lego-league,ok,first-lego.png,https://static.wixstatic.com/media/6bae7b_ae0dc6718b3248c1a241876841285d87%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/6bae7b_ae0dc6718b3248c1a241876841285d87%7Emv2.png,
flickerfest-flickerup,Flickerfest FlickerUp (Australian National Youth Competition),https://flickerfest.com.au/entries/,ok,flickerfest-flickerup.png,https://flickerfest.com.au/wp-content/themes/flickerfest_com_au/img/icons/apple-touch-icon-152x152-precomposed.png,
furphy-junior,Furphy Story Junior and Youth Competition,https://www.furphystory.com.au,ok,furphy-junior.ico,https://www.furphystory.com.au/wp-content/uploads/2024/06/Furphy-Favicon.ico,
golden-pen,The Golden Pen (Scribblers Festival),https://www.scribblersfestival.com.au/golden-pen,ok,golden-pen.jpg,https://cdn.prod.website-files.com/5f928a6a013f5e35c39b62bb/61823ed1105418bd3a15ea86_subpage1500x798px_4.jpg,
just-write-sa,Just Write - For Kids (SA Public Libraries),https://www.marion.sa.gov.au/venues-and-facilities/libraries/whats-on/just-write-for-kids,ok,just-write-sa.png,https://www.marion.sa.gov.au/assets/sp/_1200x630_crop_center-center_82_none/Just-Write-WebPage-Header.png?v=1778039635,
laura-literary,Laura Literary Awards (Prose & Poetry),https://rockyriverriters.club,ok,laura-literary.jpg,https://rockyriverriters.club/wp-content/uploads/2015/08/rockyriver1.jpg,
lime-tree-colouring,Lime Tree Kids Colouring Competition,,skip,,,
little-sydney-lives,Little Sydney Lives Photography Competition,https://www.cityofsydney.nsw.gov.au/opportunities/enter-little-sydney-lives-photography-competition,ok,little-sydney-lives.jpg,https://www.cityofsydney.nsw.gov.au/-/media/corporate/images/projects/opportunities/enter-little-sydney-lives-competition/enter-little-sydney-lives-listing.jpg?h=1417&iar=0&w=2048&hash=B8FCC648742BB62AE9C4721A13F97ACC,
matific-olympiad,Matific Maths Olympiad,https://www.matific.com/au/en-au/home/matific-olympiad/,ok,matific-olympiad.png,https://www.matific.com/home/resources/media/images-2/site-preview.png,
micador-giveaways,Micador Brand Giveaways,https://micador.com.au/competitions,fail,,,HTTP Error 404: Not Found
